Data Filename;Sample Name;Sample ID;Crotonate;Acetate;Propionate;3-Hydroxybutyrate;Methylsuccinate;Ethylmalonate;Mesaconate;2-Hydroxy-3-Methylsuccinate;Succinate;Methylmalonat;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\1-96\1.lcd;;;;-413.273;;5.535;44.355;;45.760;;2.037;;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\1-96\2.lcd;;;;-294.076;-154.571;4.843;34.338;;36.076;;;1.909;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\1-96\3.lcd;;;;416.267;;8.086;21.960;;21.506;;;;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\1-96\4.lcd;;;;300.587;;8.004;3.059;;2.500;;3.113;;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\1-96\5.lcd;;;;;;5.879;19.331;;15.305;;;1.461;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\1-96\6.lcd;;;;412.189;;12.194;4.952;;5.569;;2.690;;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\1-96\7.lcd;;;;-146.905;;10.523;25.417;;20.245;;1.831;;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\1-96\8.lcd;;;;;;6.348;44.542;;39.112;;3.591;5.079;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\1-96\9.lcd;;;;23.938;;3.210;45.372;;40.423;;;;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\1-96\10.lcd;;;;68.756;;3.380;90.507;;67.777;;2.899;;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\1-96\11.lcd;;;;;59.726;3.501;105.126;;78.862;;1.944;1.993;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\1-96\12.lcd;;;;239.740;;3.366;88.480;;64.122;;40.154;;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\1-96\13.lcd;;;;;;3.486;52.739;;58.404;;2.161;;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\1-96\14.lcd;;;;64.546;5.547;3.517;23.835;;27.642;;;;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\1-96\15.lcd;;;;-271.433;;4.749;55.963;;59.470;;3.643;;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\1-96\16.lcd;;;;112.198;;6.041;8.684;;6.779;;1.783;;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\1-96\17.lcd;;;;-437.612;;10.682;8.613;;7.877;;;1.713;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\1-96\18.lcd;;;;;29.340;14.111;8.552;;7.004;;2.031;;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\1-96\19.lcd;;;;446.012;;10.408;5.726;;3.203;;;1.723;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\1-96\20.lcd;;;;;;3.538;10.940;;4.977;;;1.996;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\1-96\21.lcd;;;;245.667;63.032;7.836;12.763;;6.084;;2.025;1.976;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\1-96\22.lcd;;;;;;5.448;2.506;;1.891;;;;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\1-96\23.lcd;;;;;;11.490;3.294;;2.676;;;;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\1-96\24.lcd;;;;64.529;-336.247;9.757;7.586;;6.817;;2.770;3.349;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\1-96\25.lcd;;;;26.988;51.871;3.602;3.190;;2.513;;;;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\1-96\26.lcd;;;;-1069.748;;3.675;3.050;;2.877;;2.133;1.763;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\1-96\27.lcd;;;;256.579;;3.675;3.479;;3.502;;2.905;;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\1-96\28.lcd;;;;;;4.287;40.663;;41.410;;73.766;;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\1-96\29.lcd;;;;;-155.303;3.733;59.343;;55.328;;2.814;;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\1-96\30.lcd;;;;;;3.623;40.212;;41.557;;1.717;;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\1-96\31.lcd;;;;;;3.690;12.491;;10.287;;172.712;;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\1-96\32.lcd;;;;-359.802;-5.558;3.394;12.531;;10.804;;4.071;1.764;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\1-96\33.lcd;;;;;-249.288;3.964;14.171;;12.343;;;;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\1-96\34.lcd;;;;;;4.251;2.621;;2.156;;3.037;;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\1-96\35.lcd;;;;229.173;68.857;4.954;2.575;;1.913;;1.654;1.654;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\1-96\36.lcd;;;;58.514;;4.961;2.721;;2.133;;;;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\1-96\37.lcd;;;;-87.496;;4.912;28.402;;23.929;;;;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\1-96\38.lcd;;;;536.510;;4.036;26.925;;22.375;;2.474;;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\1-96\39.lcd;;;;;-312.538;3.516;27.693;;23.698;;;;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\1-96\40.lcd;;;;-387.330;;10.397;109.530;;98.770;;;;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\1-96\41.lcd;;;;370.593;;5.813;47.721;;45.090;;;;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\1-96\42.lcd;;;;;;12.309;66.943;;54.593;;2.498;1.756;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\1-96\43.lcd;;;;-137.609;;11.371;3.882;;2.429;;;;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\1-96\44.lcd;;;;121.924;;10.981;33.175;;19.532;;;;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\1-96\45.lcd;;;;50.205;-28.915;12.321;4.150;;2.453;;;;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\1-96\46.lcd;;;;-62.511;-44.318;8.629;22.769;;10.290;;1.721;;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\1-96\47.lcd;;;;;;5.002;86.261;;68.669;;1.942;;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\1-96\48.lcd;;;;;;3.694;91.653;;81.269;;;1.942;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\1-96\49.lcd;;;;-30.187;;6.548;226.842;;161.701;;;;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\1-96\50.lcd;;;;;;4.204;180.954;;130.961;;2.901;;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\1-96\51.lcd;;;;286.454;;4.505;147.266;;111.361;;;;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\1-96\52.lcd;;;;;-340.266;4.208;152.404;;155.829;;;2.400;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\1-96\53.lcd;;;;-246.949;;6.169;135.237;;128.305;;;;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\1-96\54.lcd;;;;;;4.147;77.343;;87.691;;49.872;1.654;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\1-96\55.lcd;;;;361.534;;6.097;12.539;;10.073;;2.239;;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\1-96\56.lcd;;;;-629.503;52.616;3.789;7.882;;4.984;;2.022;1.630;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\1-96\57.lcd;;;;;;4.630;10.018;;7.004;;1.741;2.191;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\1-96\58.lcd;;;;;-7.657;4.933;16.840;;16.652;;;;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\1-96\59.lcd;;;;;-236.038;4.663;12.949;;6.263;;;;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\1-96\60.lcd;;;;169.314;-173.502;6.936;6.876;;3.293;;;;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\1-96\61.lcd;;;;460.413;33.209;7.141;3.340;;1.991;;;;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\1-96\62.lcd;;;;72.290;;7.305;3.068;;1.948;;;;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\1-96\63.lcd;;;;-950.520;;6.187;4.803;;3.540;;;;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\1-96\64.lcd;;;;;-282.853;5.824;4.725;;3.429;;;;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\1-96\65.lcd;;;;751.764;;5.040;3.320;;2.367;;;;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\1-96\66.lcd;;;;;;3.191;3.180;2.244;2.326;;1.666;;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\1-96\67.lcd;;;;;;3.784;53.289;;53.829;;;;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\1-96\68.lcd;;;;;;3.494;77.508;;74.216;;;1.906;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\1-96\69.lcd;;;;-402.523;;3.020;54.539;;53.181;;1.536;1.783;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\1-96\70.lcd;;;;;-52.066;3.974;21.849;;18.471;;;1.995;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\1-96\71.lcd;;;;-853.546;;4.026;10.556;;8.652;;;;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\1-96\72.lcd;;;;122.563;72.371;5.684;23.430;;19.278;;3.500;1.978;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\1-96\73.lcd;;;8.873;-17.689;-188.440;7.749;3.220;;2.328;;1.737;1.643;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\1-96\74.lcd;;;;;;6.260;3.041;;2.017;;;;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\1-96\75.lcd;;;;211.431;-363.798;4.741;3.357;;2.672;;;;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\1-96\76.lcd;;;;;51.042;8.005;78.640;;56.808;;1.634;1.740;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\1-96\77.lcd;;;;122.915;;6.059;77.468;;56.575;;;1.460;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\1-96\78.lcd;;;;;32.532;4.347;47.603;;36.751;;;1.509;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\1-96\79.lcd;;;;;28.809;8.048;95.217;;83.235;;7.104;1.977;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\1-96\80.lcd;;;;323.873;;4.765;38.939;;35.068;;4.802;;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\1-96\81.lcd;;;;;;8.655;48.869;;37.887;;1.617;;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\1-96\82.lcd;;;;;;8.901;3.510;;1.945;;1.953;1.411;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\1-96\83.lcd;;;;;-210.326;6.220;13.807;;7.195;;;;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\1-96\84.lcd;;;;658.205;;5.605;3.349;;2.116;;1.732;;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\1-96\85.lcd;;;;-5.623;;5.576;12.517;;4.423;;1.900;;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\1-96\86.lcd;;;;-319.878;;4.074;50.712;;40.280;;2.129;1.438;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\1-96\87.lcd;;;;231.773;;2.877;54.709;;48.601;;;1.927;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\1-96\88.lcd;;;;-73.872;;;124.324;;86.147;;;;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\1-96\89.lcd;;;;64.049;;3.088;135.660;;91.567;;;;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\1-96\90.lcd;;;;;29.791;3.915;98.672;;65.691;;1.829;;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\1-96\91.lcd;;;;298.354;1.533;4.775;71.267;;75.523;;1.800;1.989;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\1-96\92.lcd;;;;405.716;;3.945;82.212;;84.215;;;;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\1-96\93.lcd;;;;;-272.340;5.392;84.495;;88.025;;;1.772;
